Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:20:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:21:30 AM     0     31324    1.00    1.00    0.00    0.00    2.00     2  python3
05:21:31 AM     0     31324    0.00    1.00    0.00    1.00    1.00     3  python3
05:21:32 AM     0     31324    0.00    0.00    0.00    0.00    0.00     5  python3
05:21:33 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:21:34 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:21:35 AM     0     31324    1.00    0.00    0.00    0.00    1.00     1  python3
05:21:36 AM     0     31324    0.00    0.00    0.00    0.00    0.00     1  python3
05:21:37 AM     0     31324    0.00    1.00    0.00    0.00    1.00     4  python3
05:21:38 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:21:39 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:21:40 AM     0     31324    0.00    1.00    0.00    1.00    1.00     1  python3
05:21:41 AM     0     31324    0.00    0.99    0.00    0.00    0.99     5  python3
05:21:42 AM     0     31324    0.00    1.00    0.00    0.00    1.00     5  python3
05:21:43 AM     0     31324    0.00    2.00    0.00    0.00    2.00     2  python3
05:21:44 AM     0     31324    1.00    1.00    0.00    1.00    2.00     0  python3
05:21:45 AM     0     31324    0.99    1.98    0.00    0.00    2.97     3  python3
05:21:46 AM     0     31324    0.00    0.99    0.00    0.99    0.99     4  python3
05:21:47 AM     0     31324    0.00    3.00    0.00    1.00    3.00     1  python3
05:21:48 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:21:49 AM     0     31324    2.00    1.00    0.00    1.00    3.00     3  python3
05:21:50 AM     0     31324    0.00    0.00    0.00    0.00    0.00     3  python3
05:21:51 AM     0     31324    1.00    0.00    0.00    0.00    1.00     5  python3
05:21:52 AM     0     31324    0.00    0.99    0.00    0.00    0.99     4  python3
05:21:53 AM     0     31324    0.00    2.00    0.00    1.00    2.00     3  python3
05:21:54 AM     0     31324    1.00    0.00    0.00    0.00    1.00     1  python3
05:21:55 AM     0     31324    0.00    1.00    0.00    0.00    1.00     5  python3
05:21:56 AM     0     31324    0.00    0.99    0.00    0.00    0.99     1  python3
05:21:57 AM     0     31324    1.00    1.00    0.00    0.00    2.00     2  python3
05:21:58 AM     0     31324    0.00    1.00    0.00    0.00    1.00     5  python3
05:21:59 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
