Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

04:45:51 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:52 AM     0     26397    2.97   18.81    0.00    8.91   21.78     4  python3
04:45:53 AM     0     26397    3.00   15.00    0.00   11.00   18.00     0  python3
04:45:54 AM     0     26397    2.00   12.00    0.00   12.00   14.00     3  python3
04:45:55 AM     0     26397    3.00   11.00    0.00    7.00   14.00     4  python3
04:45:56 AM     0     26397    1.00   11.00    0.00    8.00   12.00     2  python3
04:45:57 AM     0     26397    2.97   16.83    0.00    4.95   19.80     1  python3
04:45:58 AM     0     26397    4.00   12.00    0.00    6.00   16.00     0  python3
04:45:59 AM     0     26397    2.00   14.00    0.00    3.00   16.00     3  python3
04:46:00 AM     0     26397    4.00   14.00    0.00    7.00   18.00     4  python3
04:46:01 AM     0     26397    1.00   15.00    0.00   11.00   16.00     0  python3
04:46:02 AM     0     26397    4.00   15.00    0.00    6.00   19.00     3  python3
04:46:03 AM     0     26397    3.00   13.00    0.00    6.00   16.00     2  python3
04:46:04 AM     0     26397    3.00   11.00    0.00    8.00   14.00     3  python3
04:46:05 AM     0     26397    2.97   12.87    0.00    3.96   15.84     0  python3
04:46:06 AM     0     26397    4.00   13.00    0.00    7.00   17.00     5  python3
04:46:07 AM     0     26397    1.98   15.84    0.00    5.94   17.82     1  python3
04:46:08 AM     0     26397    2.00   12.00    0.00    6.00   14.00     5  python3
04:46:09 AM     0     26397    1.00   14.00    0.00    6.00   15.00     4  python3
04:46:10 AM     0     26397    3.00   18.00    0.00    7.00   21.00     5  python3
04:46:11 AM     0     26397    1.00   18.00    0.00    8.00   19.00     4  python3
04:46:12 AM     0     26397    2.00   17.00    0.00    8.00   19.00     0  python3
04:46:13 AM     0     26397    4.00   13.00    0.00    8.00   17.00     5  python3
04:46:14 AM     0     26397    1.98   18.81    0.00    7.92   20.79     0  python3
04:46:15 AM     0     26397    2.00   16.00    0.00    6.00   18.00     3  python3
04:46:16 AM     0     26397    2.00   22.00    0.00    7.00   24.00     4  python3
04:46:17 AM     0     26397    1.00    5.00    0.00    2.00    6.00     2  python3
