Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:14:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:15:24 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:15:25 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:15:26 AM     0     30768    0.99    0.99    0.00    0.00    1.98     0  python3
05:15:27 AM     0     30768    0.00    3.00    0.00    1.00    3.00     5  python3
05:15:28 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:15:29 AM     0     30768    0.99    0.00    0.00    0.00    0.99     0  python3
05:15:30 AM     0     30768    0.00    2.00    0.00    1.00    2.00     4  python3
05:15:31 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:15:32 AM     0     30768    0.00    0.99    0.00    0.00    0.99     5  python3
05:15:33 AM     0     30768    0.00    1.00    0.00    1.00    1.00     3  python3
05:15:34 AM     0     30768    0.00    2.00    0.00    0.00    2.00     2  python3
05:15:35 AM     0     30768    0.99    1.98    0.00    0.99    2.97     3  python3
05:15:36 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:15:37 AM     0     30768    2.00    2.00    0.00    1.00    4.00     1  python3
05:15:38 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:15:39 AM     0     30768    0.00    3.00    0.00    1.00    3.00     3  python3
05:15:40 AM     0     30768    1.00    1.00    0.00    0.00    2.00     1  python3
05:15:41 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:15:42 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:15:43 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:15:44 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:15:45 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:15:46 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:15:47 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
