Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

04:49:38 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:49:39 AM     0     27203    3.00   19.00    0.00   14.00   22.00     4  python3
04:49:40 AM     0     27203    2.00   10.00    0.00    5.00   12.00     3  python3
04:49:41 AM     0     27203    2.00   13.00    0.00    7.00   15.00     0  python3
04:49:42 AM     0     27203    1.00   18.00    0.00    5.00   19.00     4  python3
04:49:43 AM     0     27203    4.00   15.00    0.00    8.00   19.00     3  python3
04:49:44 AM     0     27203    1.00   20.00    0.00    4.00   21.00     4  python3
04:49:45 AM     0     27203    5.00   13.00    0.00    9.00   18.00     2  python3
04:49:46 AM     0     27203    0.00   21.78    0.00    3.96   21.78     5  python3
04:49:47 AM     0     27203    4.00   14.00    0.00    5.00   18.00     4  python3
04:49:48 AM     0     27203    3.00   12.00    0.00    8.00   15.00     0  python3
04:49:49 AM     0     27203    3.00   14.00    0.00   10.00   17.00     0  python3
04:49:50 AM     0     27203    3.00   17.00    0.00   10.00   20.00     1  python3
04:49:51 AM     0     27203    4.00   16.00    0.00    7.00   20.00     4  python3
04:49:52 AM     0     27203    2.00   16.00    0.00    5.00   18.00     0  python3
04:49:53 AM     0     27203    2.00   15.00    0.00   10.00   17.00     4  python3
04:49:54 AM     0     27203    3.00   16.00    0.00    9.00   19.00     0  python3
04:49:55 AM     0     27203    3.00   18.00    0.00    7.00   21.00     0  python3
04:49:56 AM     0     27203    2.00   14.00    0.00    5.00   16.00     0  python3
04:49:57 AM     0     27203    0.99   22.77    0.00    7.92   23.76     2  python3
04:49:58 AM     0     27203    3.00   15.00    0.00    6.00   18.00     1  python3
04:49:59 AM     0     27203    3.00   19.00    0.00    9.00   22.00     1  python3
04:50:00 AM     0     27203    4.00   13.00    0.00    7.00   17.00     2  python3
04:50:01 AM     0     27203    3.00   17.00    0.00    8.00   20.00     4  python3
04:50:02 AM     0     27203    2.00   19.00    0.00    5.00   21.00     0  python3
04:50:03 AM     0     27203    1.98   16.83    0.00    4.95   18.81     5  python3
04:50:04 AM     0     27203    3.00   13.00    0.00    9.00   16.00     2  python3
04:50:05 AM     0     27203    2.00   12.00    0.00    8.00   14.00     0  python3
04:50:06 AM     0     27203    2.00   20.00    0.00    6.00   22.00     1  python3
