Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:35:16 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:35:17 AM     0     33067    0.00    0.00    0.00    0.00    0.00     2  quiche-client
05:35:18 AM     0     33067    0.99    1.98    0.00    0.99    2.97     0  quiche-client
05:35:19 AM     0     33067    3.00    4.00    0.00    2.00    7.00     3  quiche-client
05:35:20 AM     0     33067    2.00    2.00    0.00    0.00    4.00     2  quiche-client
05:35:21 AM     0     33067    1.98    5.94    0.00    1.98    7.92     2  quiche-client
05:35:22 AM     0     33067    4.00   10.00    0.00    4.00   14.00     5  quiche-client
05:35:23 AM     0     33067    4.00    4.00    0.00    2.00    8.00     2  quiche-client
05:35:24 AM     0     33067    2.97   10.89    0.00    3.96   13.86     5  quiche-client
05:35:25 AM     0     33067    4.00    9.00    0.00    2.00   13.00     0  quiche-client
05:35:26 AM     0     33067    1.98    9.90    0.00    3.96   11.88     1  quiche-client
05:35:27 AM     0     33067    2.00    7.00    0.00    5.00    9.00     0  quiche-client
05:35:28 AM     0     33067    1.98   14.85    0.00    2.97   16.83     3  quiche-client
05:35:29 AM     0     33067    3.00    5.00    0.00    2.00    8.00     1  quiche-client
05:35:30 AM     0     33067    1.98    4.95    0.00    1.98    6.93     3  quiche-client
05:35:31 AM     0     33067    3.00    6.00    0.00    3.00    9.00     5  quiche-client
05:35:32 AM     0     33067    1.00    5.00    0.00    2.00    6.00     4  quiche-client
05:35:33 AM     0     33067    3.00    6.00    0.00    3.00    9.00     1  quiche-client
05:35:34 AM     0     33067    2.00   12.00    0.00    5.00   14.00     5  quiche-client
05:35:35 AM     0     33067    0.99   11.88    0.00    7.92   12.87     2  quiche-client
05:35:36 AM     0     33067    2.00    7.00    0.00    2.00    9.00     5  quiche-client
05:35:37 AM     0     33067    1.98    5.94    0.00    1.98    7.92     2  quiche-client
05:35:38 AM     0     33067    2.00    6.00    0.00    6.00    8.00     0  quiche-client
05:35:39 AM     0     33067    3.00    5.00    0.00    3.00    8.00     5  quiche-client
05:35:40 AM     0     33067    1.98    2.97    0.00    0.99    4.95     3  quiche-client
05:35:41 AM     0     33067    1.00    4.00    0.00    4.00    5.00     2  quiche-client
05:35:42 AM     0     33067    3.00    6.00    0.00    2.00    9.00     2  quiche-client
05:35:43 AM     0     33067    1.98    7.92    0.00    2.97    9.90     0  quiche-client
05:35:44 AM     0     33067    1.00    7.00    0.00    2.00    8.00     0  quiche-client
05:35:45 AM     0     33067    2.97    0.99    0.00    4.95    3.96     5  quiche-client
05:35:46 AM     0     33067    2.00    8.00    0.00    6.00   10.00     5  quiche-client
05:35:47 AM     0     33067    1.00    6.00    0.00    6.00    7.00     4  quiche-client
05:35:48 AM     0     33067    2.00    4.00    0.00    4.00    6.00     4  quiche-client
05:35:49 AM     0     33067    1.98   10.89    0.00    5.94   12.87     0  quiche-client
05:35:50 AM     0     33067    2.00    5.00    0.00    2.00    7.00     1  quiche-client
05:35:51 AM     0     33067    0.00    0.00    0.00    0.00    0.00     1  quiche-client
05:35:52 AM     0     33067    0.00    0.00    0.00    0.00    0.00     1  quiche-client
