Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:11:06 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:11:07 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:08 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:09 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:10 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:11 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:12 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:13 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:14 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:15 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:16 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:17 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:18 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:19 AM     0     30462    0.00    0.00    0.00    0.00    0.00     2  quiche-server
05:11:20 AM     0     30462    2.97    1.98    0.00    0.00    4.95     0  quiche-server
05:11:21 AM     0     30462    4.00    1.00    0.00    3.00    5.00     3  quiche-server
05:11:22 AM     0     30462    2.00    1.00    0.00    0.00    3.00     4  quiche-server
05:11:23 AM     0     30462    1.98    0.99    0.00    0.00    2.97     4  quiche-server
05:11:24 AM     0     30462    3.00    0.00    0.00    1.00    3.00     5  quiche-server
05:11:25 AM     0     30462    4.00    1.00    0.00    1.00    5.00     0  quiche-server
05:11:26 AM     0     30462    1.00    2.00    0.00    0.00    3.00     4  quiche-server
05:11:27 AM     0     30462    3.00    1.00    0.00    2.00    4.00     1  quiche-server
05:11:28 AM     0     30462    2.97    0.99    0.00    0.99    3.96     4  quiche-server
05:11:29 AM     0     30462    4.00    2.00    0.00    1.00    6.00     1  quiche-server
05:11:30 AM     0     30462    2.00    0.00    0.00    0.00    2.00     3  quiche-server
05:11:31 AM     0     30462    6.00    1.00    0.00    2.00    7.00     3  quiche-server
05:11:32 AM     0     30462    2.97    1.98    0.00    1.98    4.95     5  quiche-server
05:11:33 AM     0     30462    4.00    1.00    0.00    1.00    5.00     4  quiche-server
05:11:34 AM     0     30462    4.00    1.00    0.00    2.00    5.00     2  quiche-server
05:11:35 AM     0     30462    1.98    0.99    0.00    0.99    2.97     4  quiche-server
05:11:36 AM     0     30462    4.00    1.00    0.00    4.00    5.00     3  quiche-server
05:11:37 AM     0     30462    3.96    0.99    0.00    0.99    4.95     3  quiche-server
05:11:38 AM     0     30462    4.00    2.00    0.00    1.00    6.00     2  quiche-server
05:11:39 AM     0     30462    5.00    0.00    0.00    4.00    5.00     4  quiche-server
05:11:40 AM     0     30462    2.97    0.00    0.00    0.99    2.97     5  quiche-server
05:11:41 AM     0     30462    4.00    1.00    0.00    0.00    5.00     1  quiche-server
05:11:42 AM     0     30462    3.00    0.00    0.00    1.00    3.00     2  quiche-server
05:11:43 AM     0     30462    3.00    3.00    0.00    2.00    6.00     4  quiche-server
05:11:44 AM     0     30462    2.97    0.00    0.00    2.97    2.97     1  quiche-server
05:11:45 AM     0     30462    3.00    2.00    0.00    5.00    5.00     1  quiche-server
05:11:46 AM     0     30462    3.00    0.00    0.00    0.00    3.00     5  quiche-server
05:11:47 AM     0     30462    4.00    0.00    0.00    1.00    4.00     1  quiche-server
05:11:48 AM     0     30462    3.00    0.00    0.00    2.00    3.00     0  quiche-server
05:11:49 AM     0     30462    2.97    1.98    0.00    0.99    4.95     1  quiche-server
05:11:50 AM     0     30462    3.00    2.00    0.00    1.00    5.00     3  quiche-server
05:11:51 AM     0     30462    3.96    0.99    0.00    3.96    4.95     4  quiche-server
05:11:52 AM     0     30462    4.00    2.00    0.00    1.00    6.00     1  quiche-server
05:11:53 AM     0     30462    2.97    1.98    0.00    3.96    4.95     2  quiche-server
05:11:54 AM     0     30462    3.00    1.00    0.00    1.00    4.00     2  quiche-server
05:11:55 AM     0     30462    4.00    0.00    0.00    1.00    4.00     2  quiche-server
05:11:56 AM     0     30462    3.00    0.00    0.00    3.00    3.00     2  quiche-server
05:11:57 AM     0     30462    2.94    0.00    0.00    0.00    2.94     4  quiche-server
05:11:58 AM     0     30462    5.00    0.00    0.00    3.00    5.00     0  quiche-server
05:11:59 AM     0     30462    4.00    1.00    0.00    2.00    5.00     3  quiche-server
05:12:00 AM     0     30462    1.00    0.00    0.00    1.00    1.00     3  quiche-server
05:12:01 AM     0     30462    0.00    0.00    0.00    0.00    0.00     4  quiche-server
05:12:02 AM     0     30462    0.00    0.00    0.00    0.00    0.00     4  quiche-server
05:12:03 AM     0     30462    0.00    0.00    0.00    0.00    0.00     4  quiche-server
05:12:04 AM     0     30462    0.00    0.00    0.00    0.00    0.00     4  quiche-server
05:12:05 AM     0     30462    0.00    0.00    0.00    0.00    0.00     4  quiche-server
05:12:06 AM     0     30462    0.00    0.00    0.00    0.00    0.00     4  quiche-server
