Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:35:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:35:11 AM     0     33040    0.00    0.00    0.00    0.00    0.00     0  quiche-server
05:35:12 AM     0     33040    0.00    0.00    0.00    0.00    0.00     0  quiche-server
05:35:13 AM     0     33040    0.00    0.00    0.00    0.00    0.00     0  quiche-server
05:35:14 AM     0     33040    0.00    0.00    0.00    0.00    0.00     0  quiche-server
05:35:15 AM     0     33040    0.00    0.00    0.00    0.00    0.00     0  quiche-server
05:35:16 AM     0     33040    0.00    0.00    0.00    0.00    0.00     0  quiche-server
05:35:17 AM     0     33040    0.00    3.00    0.00    0.00    3.00     0  quiche-server
05:35:18 AM     0     33040    1.00    0.00    0.00    0.00    1.00     0  quiche-server
05:35:19 AM     0     33040    1.00    1.00    0.00    0.00    2.00     4  quiche-server
05:35:20 AM     0     33040    1.00    0.00    0.00    0.00    1.00     5  quiche-server
05:35:21 AM     0     33040    3.00    0.00    0.00    0.00    3.00     1  quiche-server
05:35:22 AM     0     33040    1.98    0.00    0.00    0.00    1.98     4  quiche-server
05:35:23 AM     0     33040    1.00    2.00    0.00    0.00    3.00     0  quiche-server
05:35:24 AM     0     33040    3.00    0.00    0.00    2.00    3.00     2  quiche-server
05:35:25 AM     0     33040    2.00    0.00    0.00    1.00    2.00     4  quiche-server
05:35:26 AM     0     33040    2.00    0.00    0.00    2.00    2.00     1  quiche-server
05:35:27 AM     0     33040    2.97    0.99    0.00    0.00    3.96     3  quiche-server
05:35:28 AM     0     33040    2.00    1.00    0.00    0.00    3.00     2  quiche-server
05:35:29 AM     0     33040    2.00    0.00    0.00    0.00    2.00     2  quiche-server
05:35:30 AM     0     33040    3.00    0.00    0.00    0.00    3.00     0  quiche-server
05:35:31 AM     0     33040    2.00    0.00    0.00    0.00    2.00     3  quiche-server
05:35:32 AM     0     33040    4.00    1.00    0.00    1.00    5.00     3  quiche-server
05:35:33 AM     0     33040    1.00    0.00    0.00    0.00    1.00     1  quiche-server
05:35:34 AM     0     33040    1.98    0.99    0.00    0.99    2.97     3  quiche-server
05:35:35 AM     0     33040    1.94    0.97    0.00    0.00    2.91     0  quiche-server
05:35:36 AM     0     33040    1.98    0.00    0.00    0.00    1.98     4  quiche-server
05:35:37 AM     0     33040    2.00    2.00    0.00    1.00    4.00     3  quiche-server
05:35:38 AM     0     33040    2.00    1.00    0.00    0.00    3.00     0  quiche-server
05:35:39 AM     0     33040    1.00    1.00    0.00    2.00    2.00     4  quiche-server
05:35:40 AM     0     33040    1.00    0.00    0.00    0.00    1.00     1  quiche-server
05:35:41 AM     0     33040    2.00    1.00    0.00    1.00    3.00     2  quiche-server
05:35:42 AM     0     33040    2.97    0.00    0.00    0.99    2.97     1  quiche-server
05:35:43 AM     0     33040    1.00    0.00    0.00    0.00    1.00     0  quiche-server
05:35:44 AM     0     33040    2.00    1.00    0.00    0.00    3.00     2  quiche-server
05:35:45 AM     0     33040    1.96    0.00    0.00    0.00    1.96     4  quiche-server
05:35:46 AM     0     33040    1.00    2.00    0.00    0.00    3.00     0  quiche-server
05:35:47 AM     0     33040    1.00    1.00    0.00    0.00    2.00     2  quiche-server
05:35:48 AM     0     33040    1.00    0.00    0.00    2.00    1.00     1  quiche-server
05:35:49 AM     0     33040    2.00    1.00    0.00    0.00    3.00     5  quiche-server
05:35:50 AM     0     33040    1.98    0.00    0.00    0.00    1.98     1  quiche-server
05:35:51 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:35:52 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:35:53 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:35:54 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:35:55 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:35:56 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:35:57 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:35:58 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:35:59 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:36:00 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
05:36:01 AM     0     33040    0.00    0.00    0.00    0.00    0.00     1  quiche-server
