Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:11:20 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:11:21 AM     0     30502    4.00    9.00    0.00    2.00   13.00     2  quiche-client
05:11:22 AM     0     30502    3.00    6.00    0.00    2.00    9.00     3  quiche-client
05:11:23 AM     0     30502    3.96    6.93    0.00    3.96   10.89     3  quiche-client
05:11:24 AM     0     30502    4.00    5.00    0.00    5.00    9.00     1  quiche-client
05:11:25 AM     0     30502    2.00    9.00    0.00    7.00   11.00     0  quiche-client
05:11:26 AM     0     30502    1.98    8.91    0.00    3.96   10.89     0  quiche-client
05:11:27 AM     0     30502    1.00    9.00    0.00    6.00   10.00     4  quiche-client
05:11:28 AM     0     30502    2.00    6.00    0.00    4.00    8.00     4  quiche-client
05:11:29 AM     0     30502    2.00   12.00    0.00    3.00   14.00     1  quiche-client
05:11:30 AM     0     30502    2.97    5.94    0.00    1.98    8.91     1  quiche-client
05:11:31 AM     0     30502    4.00   11.00    0.00    5.00   15.00     0  quiche-client
05:11:32 AM     0     30502    5.00   11.00    0.00    5.00   16.00     2  quiche-client
05:11:33 AM     0     30502    3.00   11.00    0.00    3.00   14.00     5  quiche-client
05:11:34 AM     0     30502    2.97    7.92    0.00    2.97   10.89     1  quiche-client
05:11:35 AM     0     30502    4.00    6.00    0.00    4.00   10.00     5  quiche-client
05:11:36 AM     0     30502    3.00   11.00    0.00    4.00   14.00     2  quiche-client
05:11:37 AM     0     30502    2.00   13.00    0.00    2.00   15.00     1  quiche-client
05:11:38 AM     0     30502    3.00   10.00    0.00    3.00   13.00     2  quiche-client
05:11:39 AM     0     30502    3.96    6.93    0.00    2.97   10.89     2  quiche-client
05:11:40 AM     0     30502    4.00    4.00    0.00    4.00    8.00     3  quiche-client
05:11:41 AM     0     30502    2.97    8.91    0.00    3.96   11.88     0  quiche-client
05:11:42 AM     0     30502    2.00    6.00    0.00    3.00    8.00     4  quiche-client
05:11:43 AM     0     30502    2.00   10.00    0.00    6.00   12.00     0  quiche-client
05:11:44 AM     0     30502    3.00   11.00    0.00    1.00   14.00     1  quiche-client
05:11:45 AM     0     30502    3.96    8.91    0.00    1.98   12.87     4  quiche-client
05:11:46 AM     0     30502    1.00    7.00    0.00    2.00    8.00     0  quiche-client
05:11:47 AM     0     30502    3.00    9.00    0.00    2.00   12.00     5  quiche-client
05:11:48 AM     0     30502    0.00    4.95    0.00    1.98    4.95     1  quiche-client
05:11:49 AM     0     30502    4.00    6.00    0.00    2.00   10.00     3  quiche-client
05:11:50 AM     0     30502    2.00    5.00    0.00    3.00    7.00     1  quiche-client
05:11:51 AM     0     30502    2.00   13.00    0.00    5.00   15.00     2  quiche-client
05:11:52 AM     0     30502    5.00    7.00    0.00    3.00   12.00     3  quiche-client
05:11:53 AM     0     30502    2.97    7.92    0.00    0.99   10.89     0  quiche-client
05:11:54 AM     0     30502    7.00   10.00    0.00    6.00   17.00     4  quiche-client
05:11:55 AM     0     30502    2.94    8.82    0.00    2.94   11.76     4  quiche-client
05:11:56 AM     0     30502    4.00    9.00    0.00    2.00   13.00     5  quiche-client
05:11:57 AM     0     30502    4.00    7.00    0.00    4.00   11.00     2  quiche-client
05:11:58 AM     0     30502    0.99   12.87    0.00    1.98   13.86     3  quiche-client
05:11:59 AM     0     30502    3.00   10.00    0.00    2.00   13.00     0  quiche-client
05:12:00 AM     0     30502    1.00    3.00    0.00    1.00    4.00     1  quiche-client
05:12:01 AM     0     30502    0.00    0.00    0.00    0.00    0.00     1  quiche-client
